Date,ConfirmedCases,DeadCases
1/22/2020,548,17
1/23/2020,643,18
1/24/2020,920,26
1/25/2020,1406,42
1/26/2020,2075,56
1/27/2020,2877,82
1/28/2020,5509,131
1/29/2020,6087,133
1/30/2020,8141,171
1/31/2020,9802,213
2/01/2020,11891,259
2/02/2020,16630,361
2/03/2020,19716,425
2/04/2020,23707,491
2/05/2020,27440,563
2/06/2020,30587,633
2/07/2020,34110,718
2/08/2020,36814,805
2/09/2020,39829,905
2/10/2020,42354,1012
2/11/2020,44386,1112
2/12/2020,44759,1117
2/13/2020,59895,1369
2/14/2020,66358,1521
2/15/2020,68413,1663
2/16/2020,70513,1766
2/17/2020,72434,1864
2/18/2020,74211,2003
2/19/2020,74619,2116
2/20/2020,75077,2238
2/21/2020,75550,2238
2/22/2020,77001,2443
2/23/2020,77022,2445
2/24/2020,77241,2595
2/25/2020,77754,2665
2/26/2020,78166,2717
2/27/2020,78600,2746
2/28/2020,78928,2790
2/29/2020,79356,2837
3/01/2020,79932,2872
3/02/2020,80136,2914
3/03/2020,80261,2947
3/04/2020,80386,2983
3/05/2020,80537,3015
3/06/2020,80690,3044
3/07/2020,80770,3072
3/08/2020,80823,3100
3/09/2020,80860,3123
3/10/2020,80887,3139
3/11/2020,80921,3161
3/12/2020,80932,3172
3/13/2020,80945,3180
3/14/2020,80977,3193
3/15/2020,81003,3203
3/16/2020,81033,3217
3/17/2020,81058,3230
3/18/2020,81102,3241
3/19/2020,81156,3249
3/20/2020,81250,3253
3/21/2020,81305,3259
3/22/2020,81435,3274
3/23/2020,81498,3274
3/24/2020,81591,3281
3/25/2020,81661,3285
3/26/2020,81782,3291
3/27/2020,81897,3296
3/28/2020,81999,3299
3/29/2020,82122,3304
3/30/2020,82198,3308
3/31/2020,82279,3309
4/01/2020,82361,3316
4/02/2020,82432,3322
4/03/2020,82511,3326
4/04/2020,82543,3330
4/05/2020,82602,3333
4/06/2020,82665,3335
4/07/2020,82718,3335
4/08/2020,82809,3337
4/09/2020,82883,3339
4/10/2020,82941,3340
4/11/2020,83014,3343
4/12/2020,83134,3343
4/13/2020,83213,3345
4/14/2020,83306,3345
4/15/2020,83356,3346
4/16/2020,83403,3346
4/17/2020,83760,4636
4/18/2020,83787,4636
4/19/2020,83805,4636
4/20/2020,83817,4636
4/21/2020,83853,4636
4/22/2020,83868,4636
4/23/2020,83884,4636
4/24/2020,83899,4636
4/25/2020,83909,4636
4/26/2020,83912,4637
4/27/2020,83918,4637
4/28/2020,83940,4637
4/29/2020,83944,4637
4/30/2020,83956,4637
5/01/2020,83959,4637
5/02/2020,83959,4637
5/03/2020,83964,4637
5/04/2020,83966,4637
5/05/2020,83968,4637
5/06/2020,83970,4637
5/07/2020,83975,4637
5/08/2020,83976,4637
5/09/2020,83990,4637
5/10/2020,84010,4637
5/11/2020,84011,4637
5/12/2020,84018,4637
5/13/2020,84024,4637
5/14/2020,84029,4637
5/15/2020,84038,4637
5/16/2020,84044,4638
5/17/2020,84054,4638
5/18/2020,84063,4638
5/19/2020,84063,4638
5/20/2020,84063,4638
5/21/2020,84063,4638
5/22/2020,84081,4638
5/23/2020,84084,4638
5/24/2020,84095,4638
5/25/2020,84102,4638
5/26/2020,84103,4638
5/27/2020,84106,4638
5/28/2020,84106,4638
5/29/2020,84123,4638
5/30/2020,84128,4638
5/31/2020,84146,4638
6/01/2020,84154,4638
6/02/2020,84161,4638
6/03/2020,84160,4638
6/04/2020,84171,4638
6/05/2020,84177,4638
6/06/2020,84186,4638
6/07/2020,84191,4638
6/08/2020,84195,4638
6/09/2020,84198,4638
6/10/2020,84209,4638
6/11/2020,84216,4638
6/12/2020,84228,4638
6/13/2020,84286,4638
6/14/2020,84335,4638
6/15/2020,84378,4638
6/16/2020,84422,4638
6/17/2020,84458,4638
6/18/2020,84494,4638
6/19/2020,84494,4638
6/20/2020,84553,4639
6/21/2020,84572,4639
6/22/2020,84624,4639
6/23/2020,84653,4640
6/24/2020,84673,4640
6/25/2020,84701,4641
6/26/2020,84725,4641
6/27/2020,84743,4641
